,country,province,latitude,longitude,points,variety,Temperature,Humidity
86279,Portugal,Bairrada,40.4601671,-8.4556658,88,Pinot Noir,61.54,72
88775,Lebanon,Lebanon,33.854721000000005,35.862285,88,Chardonnay,62.06,43
89675,Uruguay,Uruguay,-32.522779,-55.765834999999996,82,Chardonnay,79.48,40
92120,US,Washington-Oregon,45.5469616,-123.1386021,88,Chardonnay,51.55,76
100712,Italy,Northwestern Italy,45.0036859,8.218145100000001,88,Chardonnay,59.67,90
102183,Chile,Lolol Valley,-34.7284166,-71.6458243,85,Pinot Noir,75.85,49
104687,US,Massachusetts,42.4072107,-71.3824374,85,Chardonnay,58.5,41
108907,Ukraine,Ukraine,48.379433,31.1655799,85,Chardonnay,47.75,48
109602,Portugal,Douro,41.5012768,-5.5122931999999984,88,Pinot Noir,53.58,81
122289,Portugal,Alentejano,38.2003808,-7.8000849999999975,91,Pinot Noir,64.4,59
122555,US,Connecticut,41.60322070000001,-73.087749,84,Chardonnay,58.59,43
124731,Israel,Shomron,32.422877,35.3027226,86,Chardonnay,70.11,73
125831,South Africa,Darling,-33.375584,18.3860652,87,Chardonnay,60.91,82
129170,South Africa,Swartland,-33.3306832,18.712579100000003,86,Chardonnay,61.72,92
129821,South Africa,Cape Peninsula,-34.2500139,18.4157357,91,Chardonnay,61.72,93
